comm_type,comm_group,comm_group_size,msg_size,stage,dst,src,additional,_elapsed_time,algbw,busbw,count
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.049248218536377,20.66,20.66,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.040927886962891,20.69,20.69,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.045567989349365,20.68,20.68,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.1074879989027977,0.14,0.14,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.12816047668457,20.83,20.83,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.258527755737305,20.66,20.66,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.223007202148438,20.71,20.71,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.16908800601959229,0.09,0.09,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,5.885280132293701,21.24,21.24,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.05244779586792,20.65,20.65,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.066400051116943,20.61,20.61,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.070591926574707,20.59,20.59,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.10527999699115753,0.14,0.14,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.144031524658203,20.81,20.81,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.23036766052246,20.7,20.7,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.370336532592773,20.52,20.52,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.18934400379657745,0.08,0.08,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,5.765439987182617,21.68,21.68,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.042816162109375,20.69,20.69,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,5.933311939239502,21.07,21.07,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.000448226928711,20.83,20.83,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.11568000167608261,0.13,0.13,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.141279220581055,20.81,20.81,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.220672607421875,20.71,20.71,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.196800231933594,20.74,20.74,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.16147199273109436,0.09,0.09,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,5.8700480461120605,21.29,21.29,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.067615985870361,20.6,20.6,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.034175872802734,20.72,20.72,1
